Sentence,Sentiment,Length,Word_Count,Cleaned_Text,Final_Text,Label
"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",positive,138,16,dgi technical alerts gilligans island buy setup stochastic buy signal lizard bullish hammer candlestick wid ,dgi technical alert gilligans island buy setup stochastic buy signal lizard bullish hammer candlestick wid,2
"The record date for dividend distribution is March 14 , 2008 .",neutral,62,12,the record date for dividend distribution is march    ,record date dividend distribution march,1
( I&H ) in a move to enhance growth .,positive,37,10, ih  in a move to enhance growth ,ih move enhance growth,2
"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 million Euros and Pohjola Bank Plc 2.3 million Euros .",neutral,241,46,the ebrd is using its own funds to provide a  million a loan while the b portion of  million euros has been syndicated to two finnish commercial banks  nordea bank finland plc  million euros and pohjola bank plc  million euros ,ebrd using fund provide million loan b portion million euro syndicated two finnish commercial bank nordea bank finland plc million euro pohjola bank plc million euro,1
"Stockholm , 3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions .",neutral,140,22,stockholm   march  about cybercom the cybercom group is a hightech consultancy that offers global sourcing for endtoend solutions ,stockholm march cybercom cybercom group hightech consultancy offer global sourcing endtoend solution,1
He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,negative,117,22,he said he has been losing five families a month to the economy as many make alternative arrangements to save money ,losing five family month economy many make alternative arrangement save money,0
"MILAN ( AFX ) - The Italian shipping group Grimaldi has increased its stake in the Finnish company Finnlines to 35.4 pct from the 30.5 pct held in June , according to news agency ANSA .",neutral,185,36,milan  afx   the italian shipping group grimaldi has increased its stake in the finnish company finnlines to  pct from the  pct held in june  according to news agency ansa ,milan afx italian shipping group grimaldi increased stake finnish finnlines pct pct held june according news agency ansa,1
"Commenting on the deal , Shane Lennon , SVP of Marketing & Product Development at GyPSii said : ?",neutral,97,19,commenting on the deal  shane lennon  svp of marketing  product development at gypsii said  ,commenting deal shane lennon svp marketing product development gypsii,1
"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .",neutral,249,44,external net sales from the printing business fell by    partly due to the termination of the printing contract between ilkkayhtyma s printing house iprint oy and sector player hss media ab in december  and the fall in printing prices ,external net sale printing business fell partly due termination printing contract ilkkayhtyma printing house iprint oy sector player hs medium ab december fall printing price,1
"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .",neutral,200,35,the group intends to relocate warehouse and office space in loudeac and saint marcel to morvillars  in the east of the country  where it already operates a hook manufacturing and distribution unit ,group intends relocate warehouse office space loudeac saint marcel morvillars east country already operates hook manufacturing distribution unit,1
"The firm is headquartered in Vantaa , southern Finland and has 16 employees .",neutral,77,14,the firm is headquartered in vantaa  southern finland and has  employees ,firm headquartered vantaa southern finland employee,1
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",neutral,141,31,at  pm  the omx helsinki  was  pct lower at  and the omx helsinki was down  pct at  on volume of  mln eur ,pm omx helsinki pct lower omx helsinki pct volume mln eur,1
"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world .",positive,172,32,we are honored to be recognized by gartner as a specialist in business process modeling and analysis  in the company of many of the largest software vendors in the world ,honored recognized gartner specialist business process modeling analysis many largest software vendor world,2
"Westpac Banking Corp - Is to issue a benchmark , 3 year FRN deal in Euros .",neutral,75,17,westpac banking corp  is to issue a benchmark   year frn deal in euros ,westpac banking corp issue benchmark frn deal euro,1
"Includes company and brand share data by category , as well as distribution channel data .",neutral,90,16,includes company and brand share data by category  as well as distribution channel data ,includes brand share data category well distribution channel data,1
For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .,neutral,146,25,for the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the trade register ,new share subscribed stock option shareholder right commence date entered trade register,1
$AAPL price momentum weakening going into the close.,negative,52,8,aapl price momentum weakening going into the close,aapl price momentum weakening going close,0
Through the acquisition Solteq will expand its solutions offering by Microsoft 's Dynamics business software products .,positive,119,17,through the acquisition solteq will expand its solutions offering by microsoft s dynamics business software products ,acquisition solteq expand solution offering microsoft dynamic business software product,2
"The company 's profit totaled Ls 134,700 .",neutral,42,8,the company s profit totaled ls  ,profit totaled l,1
"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council .",neutral,122,18,leed is an internationally recognized green building certification system  developed by the us green building council ,leed internationally recognized green building certification system developed u green building council,1
"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .",negative,85,18,however  its market share shrank to  per cent from  per cent a year earlier ,however market share shrank per cent per cent earlier,0
TalkTalk hires BAE Systems to investigate cyber attack,negative,54,8,talktalk hires bae systems to investigate cyber attack,talktalk hire bae system investigate cyber attack,0
Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,neutral,116,21,looks like its booking a one way ticket to its  week ma near  losing  week here lulu ,look like booking one way ticket week near losing week lulu,1
"FTSE led lower by M&S, GlaxoSmithKline",negative,38,6,ftse led lower by ms glaxosmithkline,ftse led lower m glaxosmithkline,0
The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company .,neutral,146,27,the exercise price of the option will be based on safran software solutions  license and maintenance sales as well as the result of the company ,exercise price option based safran software solution license maintenance sale well result,1
Full-year operating result for 2008 was 3.6 million negative .,negative,62,10,fullyear operating result for  was  million negative ,fullyear operating result million negative,0
"The company said production volumes so far indicate the circuit is capable of the targeted output rate of 60,000 tonnes per day , or 22 million tonnes a year .",neutral,159,30,the company said production volumes so far indicate the circuit is capable of the targeted output rate of  tonnes per day  or  million tonnes a year ,production volume far indicate circuit capable targeted output rate tonne per day million tonne,1
"Jun. 25 , 2008 ( Boy Genius Report delivered by Newstex ) -- The Nokia ( NYSE : NOK ) N78 , huh ?",neutral,97,24,jun     boy genius report delivered by newstex   the nokia  nyse  nok  n  huh ,jun boy genius report delivered newstex nokia nyse nok n huh,1
"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said .",neutral,140,25, we have come out with a decision which is based on our preliminary economic  operational and environmental findings   karvinen said ,come decision based preliminary economic operational environmental finding karvinen,1
"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",neutral,193,31,the new majority owners of aspocomp thailand co  ltd are certain private persons belonging to immediate circle of aspocomp s present joint venture partner  saha pathana interholding plc ,new majority owner aspocomp thailand co ltd certain private person belonging immediate circle aspocomp present joint venture partner saha pathana interholding plc,1
"Some 3.8 mln euro ( $ 5.2 mln ) of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of 850,000 new Ixonos shares .",neutral,169,35,some  mln euro    mln  of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of  new ixonos shares ,mln euro mln base acquisition price paid cash rest subscription offering total new ixonos share,1
"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia .",neutral,140,24,established in   the srv group is a private finnish construction concern with operations in finland  the baltic countries and russia ,established srv group private finnish construction concern operation finland baltic country russia,1
The business section also includes Ahlstrom 's sustainability report .,neutral,70,10,the business section also includes ahlstrom s sustainability report ,business section also includes ahlstrom sustainability report,1
"+Â£lemiste City is the environment for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +Â£lo P+Ã±rnits , chairman of the supervisory board of +Â£lemiste City and Mainor .",neutral,255,43,â£lemiste city is the environment for a knowledgebased economy providing work for  people with the total turnover of its companies amounting to eek  bn   said â£lo pã±rnits  chairman of the supervisory board of â£lemiste city and mainor ,â£lemiste city environment knowledgebased economy providing work people total turnover company amounting eek bn â£lo pã±rnits chairman supervisory board â£lemiste city mainor,1
Jacobs has been supporting Storengy 's investment of developing storage sites since 2006 as owner 's engineer .,neutral,111,18,jacobs has been supporting storengy s investment of developing storage sites since  as owner s engineer ,jacob supporting storengy investment developing storage site since owner engineer,1
"The company had earlier said that it was considering different strategic options for the struggling low-cost mobile operator , including a divestment of its holding .",neutral,166,26,the company had earlier said that it was considering different strategic options for the struggling lowcost mobile operator  including a divestment of its holding ,earlier considering different strategic option struggling lowcost mobile operator including divestment holding,1
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",negative,82,14,sainsburys asda tesco and morrisons will all cut petrol prices as oil falls ,sainsburys asda tesco morrison cut petrol price oil fall,0
Barclays sells benchmark indices unit to Bloomberg,positive,50,7,barclays sells benchmark indices unit to bloomberg,barclays sell benchmark index unit bloomberg,2
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,neutral,82,15,operating profit in the fourth quarter fell to eurm from eurm a year earlier ,operating profit fourth quarter fell eurm eurm earlier,1
Finnish forestry company UPM-Kymmene and waste management company Lassila & Tikanoja said on Jan. 30 they were planning to produce ethanol and energy from commercial and industrial waste .,neutral,188,29,finnish forestry company upmkymmene and waste management company lassila  tikanoja said on jan  they were planning to produce ethanol and energy from commercial and industrial waste ,finnish forestry upmkymmene waste management lassila tikanoja jan planning produce ethanol energy commercial industrial waste,1
"ISMS does not disclose its financial results , the daily said .",neutral,63,12,isms does not disclose its financial results  the daily said ,ism disclose financial result daily,1
"The contract covers the manufacturing , surface-treatment and installation of the steel structures .",neutral,100,14,the contract covers the manufacturing  surfacetreatment and installation of the steel structures ,contract cover manufacturing surfacetreatment installation steel structure,1
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,positive,199,42,finnish metal industry solutions supplier outotec oyj net profit rose to  mln euro    mln  for the first nine months of  from  mln euro    mln  for the same period of  ,finnish metal industry solution supplier outotec oyj net profit rose mln euro mln first nine month mln euro mln period,2
"Under the deal , Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock .",neutral,85,21,under the deal  know it will pay sekm  usd  meur  m  in cash and stock ,deal know pay sekm usd meur cash stock,1
"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",positive,127,25,for the first nine months of   the company s net profit rose to eurm from eurm for the corresponding period of  ,first nine month net profit rose eurm eurm corresponding period,2
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",positive,93,16,aapl dma turned up macd crossover a halfahair away on the weekly eod break out likely,aapl dma turned macd crossover halfahair away weekly eod break likely,2
Protalix has $ 42 million in cash and no sales .,neutral,48,11,protalix has   million in cash and no sales ,protalix million cash sale,1
That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,negative,126,17,that bearish outside day tuesday is significant  day resistance still intact just my opinion sds ,bearish outside day tuesday significant day resistance still intact opinion sd,0
All rights reserved .,neutral,21,4,all rights reserved ,right reserved,1
"It will be operated by Nokia , and supported by its Nokia NetAct network and service management system .",neutral,104,19,it will be operated by nokia  and supported by its nokia netact network and service management system ,operated nokia supported nokia netact network service management system,1
"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",positive,162,32,mr priit kasak  balti metsamasina s owner  said the rakverebased company wishes to increase valmet s market share from   to a third in a couple of years ,mr priit kasak balti metsamasina owner rakverebased wish increase valmet market share third couple year,2
Shire Sees Baxalta Deal Closing as Expected After New Rules,positive,59,10,shire sees baxalta deal closing as expected after new rules,shire see baxalta deal closing expected new rule,2
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,neutral,54,9,sainsbury cfo rogers to replace home retail ceo walden,sainsbury cfo rogers replace home retail ceo walden,1
"Marathon now has a 4.6 percent stake in PLX , it said , according to Bloomberg .",neutral,80,17,marathon now has a  percent stake in plx  it said  according to bloomberg ,marathon percent stake plx according bloomberg,1
"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman of the Defense Credit Union Council for the 2007-2008 term .",neutral,184,31,simmons elected dcuc chairman portsmouth  nhgordon a simmons  ceo of service credit union  has been elected chairman of the defense credit union council for the  term ,simmons elected dcuc chairman portsmouth nhgordon simmons ceo service credit union elected chairman defense credit union council term,1
Sanoma News ' advertising sales decreased by 22 % during the year .,negative,67,13,sanoma news  advertising sales decreased by   during the year ,sanoma news advertising sale decreased,0
Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,neutral,161,23,pharmaceutical market in czech republic global research  data services published recently a market analysis about the pharmaceutical markets in czech republic ,pharmaceutical market czech republic global research data service published recently market analysis pharmaceutical market czech republic,1
"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",neutral,166,25,finnish construction company yit is reducing the number of startups of marketfinanced residential units in  to about  from the previously announced  ,finnish construction yit reducing number startup marketfinanced residential unit previously announced,1
Cash Flow from Operations for the most recent quarter also reached a eight year low .,neutral,85,16,cash flow from operations for the most recent quarter also reached a eight year low ,cash flow operation recent quarter also reached eight low,1
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",negative,120,21,tietoenator was down  pct to   extending recent lows after last week s secondquarter report  dealers said ,tietoenator pct extending recent low last week secondquarter report dealer,0
The maritime administration said the ships had ignored warnings about the icy conditions .,negative,90,14,the maritime administration said the ships had ignored warnings about the icy conditions ,maritime administration ship ignored warning icy condition,0
Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,positive,85,12,synergy pharma soars  today on positive phase  results sgyp ,synergy pharma soar today positive phase result sgyp,2
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,positive,89,18,operating profit rose to eur  mn from eur  mn in the corresponding period in  ,operating profit rose eur mn eur mn corresponding period,2
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",negative,180,33,making matters more difficult  the company said it has been grappling with higher oil and gas prices  which have pushed up the cost of energy  raw materials and transportation ,making matter difficult grappling higher oil gas price pushed cost energy raw material transportation,0
"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",positive,75,12,vrtx vertex monthly lower hilower lo  long term uptrend intract so far,vrtx vertex monthly lower hilower lo long term uptrend intract far,2
Financial details were not disclosed .,neutral,38,6,financial details were not disclosed ,financial detail disclosed,1
"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics , '' EBRD informed .",neutral,220,31,these include software development for internet and mobile telephone content  communications  valueadded software  financial services  security applications  systems integration and electronics   ebrd informed ,include software development internet mobile telephone content communication valueadded software financial service security application system integration electronics ebrd informed,1
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",neutral,188,31,yit lodged counter claims against neste oil totaling some eurm  primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project ,yit lodged counter claim neste oil totaling eurm primarily based work carried contract additional cost incurred due prolongation project,1
Should You Follow Berkshire Hathaway Into Apple Stock?,neutral,54,8,should you follow berkshire hathaway into apple stock,follow berkshire hathaway apple stock,1
The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,neutral,101,16,the total amount of subscription prices was recorded in the fund for invested nonrestricted equity ,total amount subscription price recorded fund invested nonrestricted equity,1
"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",positive,115,23,tsla th wave down on the  hour chart hammer candle developing close to  sma might be a good spot for calls,tsla th wave hour chart hammer candle developing close sma might good spot call,2
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",positive,92,18,strongest growth was seen in the new markets in russia  the czech republic  and slovakia ,strongest growth seen new market russia czech republic slovakia,2
The tower 's engineers have created an 18 degree westward lean - four times the inclination on the Leaning Tower of Pisa - using diagrid structures that are aligned geometrically using Tekla Structures BIM ( Building Information Modeling ) software .,neutral,250,41,the tower s engineers have created an  degree westward lean  four times the inclination on the leaning tower of pisa  using diagrid structures that are aligned geometrically using tekla structures bim  building information modeling  software ,tower engineer created degree westward lean four time inclination leaning tower pisa using diagrid structure aligned geometrically using tekla structure bim building information modeling software,1
"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .",neutral,110,20,amer  which bought salomon from adidas in october  said the job cuts are aimed at boosting competitiveness ,amer bought salomon adidas october job cut aimed boosting competitiveness,1
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",negative,90,20,acando ab  acanb ss  fell  percent to  kronor  the lowest close since dec  ,acando ab acanb s fell percent kronor lowest close since dec,0
"With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term .",positive,129,21,with the measures  suominen corporation aims to ensure the competitiveness of the flexible packaging business in the long term ,measure suominen corporation aim ensure competitiveness flexible packaging business long term,2
"@IfHeDiesHeDies: @Bullhorn334: $ZNGA shorts are getting nervous""""",positive,65,7,  znga shorts are getting nervous,znga short getting nervous,2
The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com .,neutral,122,18,the financial statements release will be available after publishing on the company s internet pages at  ,financial statement release available publishing internet page,1
"The world of glass is coming to Egypt and we invite Visitors from all around the world to attend Glass World Exhibition 2009 , Register Now at www.glassworldex.com",neutral,163,28,the world of glass is coming to egypt and we invite visitors from all around the world to attend glass world exhibition   register now at ,world glass coming egypt invite visitor around world attend glass world exhibition register,1
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",negative,141,27,comparable operating profit totaled eur  mn  down from eur  mn in the corresponding period in   representing   of net sales ,comparable operating profit totaled eur mn eur mn corresponding period representing net sale,0
"Most of the raw materials come from Europe and the US and are paid in euros or US dollars , while sales take place in rubles .",neutral,126,27,most of the raw materials come from europe and the us and are paid in euros or us dollars  while sales take place in rubles ,raw material come europe u paid euro u dollar sale take place ruble,1
"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",neutral,231,50, adpnews   may     finnish cutlery and hand tools maker fiskars oyj abp  hel  fisas  said today its net profit declined to eur  million  usd m  in the first quarter of  from eur  million in the correspond,adpnews may finnish cutlery hand tool maker fiskars oyj abp hel fisa today net profit declined eur million usd first quarter eur million correspond,1
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral,120,22,a maximum of  new shares can further be subscribed for by exercising b options under the  stock option plan ,maximum new share subscribed exercising b option stock option plan,1
It inspects the companys strategic strengths and weaknesses .,neutral,61,9,it inspects the companys strategic strengths and weaknesses ,inspects company strategic strength weakness,1
No planned closing date was provided .,neutral,38,7,no planned closing date was provided ,planned closing date provided,1
"The Lemminkainen Group , headquartered in Helsinki , Finland operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",neutral,224,33,the lemminkainen group  headquartered in helsinki  finland operates in all sectors of the construction industry  civil engineering  building contracting  technical building services and the building materials industry ,lemminkainen group headquartered helsinki finland operates sector construction industry civil engineering building contracting technical building service building material industry,1
The implementation of the deal is subject to the approval by the Finnish Competition Authority .,neutral,96,16,the implementation of the deal is subject to the approval by the finnish competition authority ,implementation deal subject approval finnish competition authority,1
"Microsoft also churned up its courtship , agreeing to use the Navteq mapping service , which is offered by a company Nokia bought for $ 8.1 billion a few years ago .",positive,165,32,microsoft also churned up its courtship  agreeing to use the navteq mapping service  which is offered by a company nokia bought for   billion a few years ago ,microsoft also churned courtship agreeing use navteq mapping service offered nokia bought billion year ago,2
The GeoSolutions team further provides an intriguing new technology combining GPS and Mobile-based technologies together with Internet-based social networking .,neutral,160,20,the geosolutions team further provides an intriguing new technology combining gps and mobilebased technologies together with internetbased social networking ,geosolutions team provides intriguing new technology combining gps mobilebased technology together internetbased social networking,1
"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products .",neutral,195,32,the c expo is a signature show in dongguan  which is supported by the dongguan municipal government every year  featuring computer accessories  software  communication and network products ,c expo signature show dongguan supported dongguan municipal government every featuring computer accessory software communication network product,1
Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,neutral,162,25,pharmaceuticals  poland this brandnew market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in poland ,pharmaceutical poland brandnew market analysis give clear overview actual situation future outlook pharmaceutical market poland,1
"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",neutral,142,26,trading in the new shares  which have right to dividends and other distributions of funds  will start on the exchange in helsinki tomorrow ,trading new share right dividend distribution fund start exchange helsinki tomorrow,1
The dual-fuel engines of the vessel can operate on liquefied natural gas LNG with low emissions .,neutral,97,17,the dualfuel engines of the vessel can operate on liquefied natural gas lng with low emissions ,dualfuel engine vessel operate liquefied natural gas lng low emission,1
"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur .",neutral,181,39, among other finnish shares traded in the us  stora enso closed  pct lower at  eur  upmkymmene was up  pct at  eur  and metso was down  pct at  eur ,among finnish share traded u stora enso closed pct lower eur upmkymmene pct eur metso pct eur,1
"In addition to the presentations held by President & CEO Kai Telanne and CFO Tuomas Itkonen , participants will have an opportunity to discuss with other members of the company 's management .",neutral,192,33,in addition to the presentations held by president  ceo kai telanne and cfo tuomas itkonen  participants will have an opportunity to discuss with other members of the company s management ,addition presentation held president ceo kai telanne cfo tuomas itkonen participant opportunity discus member management,1
"The change in holdings in accordance with Chapter 2 , Section 9 of the Finnish Securities Markets Act is described below .",neutral,122,22,the change in holdings in accordance with chapter   section  of the finnish securities markets act is described below ,change holding accordance chapter section finnish security market act described,1
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",positive,214,40,with capman as a partner  we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers   says christopher wynne  ceo of papa john s russia ,capman partner able develop business continue focus providing quality restaurant service customer say christopher wynne ceo papa john russia,2
The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk .,neutral,99,15,the cranes would be installed onboard two freighters ordered by singaporean ship owner masterbulk ,crane would installed onboard two freighter ordered singaporean ship owner masterbulk,1
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,neutral,126,21,the business to be divested generates consolidated net sales of eur  million annually and currently has some  employees ,business divested generates consolidated net sale eur million annually currently employee,1
"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .",neutral,200,44,adpnews  feb     finnish real estate investor sponda oyj hel  sdav said today that it slipped to a net loss of eur  million usd  m in  from a profit of eur  million in  ,adpnews feb finnish real estate investor sponda oyj hel sdav today slipped net loss eur million usd profit eur million,1
"The company , which has EUR2 .8 bn in assets , counts among its five largest shareholders Finnish insurers Ilmarinen 4.34 % and Varma 0.70 % , as well as the Finnish state pension fund VER 0.61 % .",neutral,197,39,the company  which has eur  bn in assets  counts among its five largest shareholders finnish insurers ilmarinen   and varma    as well as the finnish state pension fund ver   ,eur bn asset count among five largest shareholder finnish insurer ilmarinen varma well finnish state pension fund ver,1
"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",neutral,143,28,in addition  a further  employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed ,addition employee laid notice whole workforce laid short period needed,1
@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,negative,124,13, iwm minute chart small caps threatening descending triangle breakdown under   ,iwm minute chart small cap threatening descending triangle breakdown,0
CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .,neutral,247,48,corporate it update   c   m communications ltd finnish technology group teleste corporation  omx helsinki  tltv  reported on wednesday   february  an operating profit of eur  m on net sales of eur  m for the year  ,corporate update c communication ltd finnish technology group teleste corporation omx helsinki tltv reported wednesday february operating profit eur net sale eur,1
"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",neutral,178,31,stockholmbased nordea bank  sto  nda  said yesterday it had hired casper von koskull to lead its corporate merchant banking and capital markets unit  effective  september ,stockholmbased nordea bank sto nda yesterday hired casper von koskull lead corporate merchant banking capital market unit effective september,1
The total need for staff cuts corresponds to about 300 man-years .,negative,66,12,the total need for staff cuts corresponds to about  manyears ,total need staff cut corresponds manyears,0
Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,positive,206,41,finnish fibers and plastic products maker suominen corporation said its net loss narrowed to  mln euro   mln in the first nine months of  from  mln euro   mln in the same period of  ,finnish fiber plastic product maker suominen corporation net loss narrowed mln euro mln first nine month mln euro mln period,2
CompaniesFresnillo shares jump 8% as silver price breaks $21,positive,60,9,companiesfresnillo shares jump  as silver price breaks ,companiesfresnillo share jump silver price break,2
Bluewin Security is available as a monthly subscription .,neutral,57,9,bluewin security is available as a monthly subscription ,bluewin security available monthly subscription,1
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .",positive,55,13,operating profit was eur  mn  up from eur  mn ,operating profit eur mn eur mn,2
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,positive,100,18,finnish raisio  diagnostics  is launching new dnabased quick tests to ensure the safety of food ,finnish raisio diagnostics launching new dnabased quick test ensure safety food,2
The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 .,neutral,217,39,the nonrecurring costs caused to talentum s premedia business area by the restructuring will amount to  mln euro   mln and will be included in the company s financial results for the second quarter of  ,nonrecurring cost caused talentum premedia business area restructuring amount mln euro mln included financial result second quarter,1
"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",positive,215,35,finnish software developer basware oyj said on november    its us subsidiary basware  inc won an order to provide software for contract lifecycle management to an unnamed us medical technology company ,finnish software developer basware oyj november u subsidiary basware inc order provide software contract lifecycle management unnamed u medical technology,2
The chain is to unite 45-50 centres by the end of 2008 .,neutral,56,13,the chain is to unite  centres by the end of  ,chain unite centre end,1
"The important thing now is to keep the bank 's existing 15,000 customers .",neutral,74,14,the important thing now is to keep the bank s existing  customers ,important thing keep bank existing customer,1
The prices of stainless steel also rose in Europe .,neutral,51,10,the prices of stainless steel also rose in europe ,price stainless steel also rose europe,1
